image,miou,precision,recall,f1,num_pred,num_gt
CSNU1552180-2-_jpg.rf.6895f427655a3472deea3fb811cac76d,0.025911603706878367,0.0,0.0,0.0,1,1
eb027771229e0c2fa30988d3e1f7497b027eb5b8_jpg.rf.c8ffc3a9fc48ee980632880938f5905c,0.21734220265864532,0.0,0.0,0.0,1,1
SLVU4523535-4-_jpg.rf.b848dd00df506eab3bdc8ed847fd250b,0.14434338279386785,0.0,0.0,0.0,1,1
172958f9cbf5856badac84d9ad9264327c335861_jpg.rf.32092d910f6f004d77faddd054b3d4c0,0.0,0.0,0.0,0.0,1,1
f8b847d4a652b6435423172d8f6d27c669f29b0a_jpg.rf.f580922145f4a8aebc30552509bbae12,0.22180712841480021,0.0,0.0,0.0,1,1
aa4e8396047cfb79287c0ffd12ec06a633d61acf_jpg.rf.169b5c313afbeda35ae336dda7f010ec,0.0,0.0,0.0,0.0,1,1
CCLU7760706-2-_jpg.rf.3d697178c2bbf2c7f60cfd3a3f32851b,0.00152411320794829,0.0,0.0,0.0,2,1
SEKU4562144-2-_361x480_jpg.rf.29dc79388930d7e3f5d08cbc3d9eba12,0.021069946637652853,0.0,0.0,0.0,1,1
FFAU3020641-9-_jpg.rf.97cf482fecffe6aa6fb73555a602c930,0.00013813296192673814,0.0,0.0,0.0,1,1
FFAU2685940-2-_jpg.rf.fd2b578fa50dc2eec736bc90d5fed7af,0.0,0.0,0.0,0.0,3,1
f4b241aa8616581dda8a65e4265675a0bfb33f25_jpg.rf.fcdd2668950d52d16e1974b087e45f1c,0.12338948930556806,0.0,0.0,0.0,1,1
f0cf9f5612f24105df12870143fff9483312da32_jpg.rf.95f3ea4ebe146e509f3d9a9fab15df37,0.13672434763154176,0.0,0.0,0.0,1,1
CAIU3460378-3-_jpg.rf.1e4dabbe0db57225a9585625a1b2754f,0.1396980377673429,0.0,0.0,0.0,1,1
IMG_20221207_105404_638x480_jpg.rf.9984e25ba5c281e1702768e25a96890c,0.002748715206424158,0.0,0.0,0.0,1,1
CSNU1974479-2-_jpg.rf.b6a96b07903a1fd349d6e93a8cb38e2a,0.007933283515400721,0.0,0.0,0.0,1,1
046fe09d14a478a4048da69f34ff05cf590706f3_jpg.rf.58bb590282c7ef9186d19476ffee25ea,0.0,0.0,0.0,0.0,1,1
BEAU5167620-5-_jpg.rf.60a54fab6714bd38c512ef5b30230a05,0.00015166163188990632,0.0,0.0,0.0,1,1
CSNU7401767-6-_jpg.rf.dd57913764b29a19790ae18da76b1a08,0.0,0.0,0.0,0.0,1,1
172958f9cbf5856badac84d9ad9264327c335861_jpg.rf.6459978695a95f180add873bd31b7c4a,0.0,0.0,0.0,0.0,1,1
SLVU4527119-2-_jpg.rf.124b1d1d57846315f705bb1a5edd2192,0.14999115899272394,0.0,0.0,0.0,1,1
FBIU0496959-3-_jpg.rf.8432d8ef44f7631800a5da065764b25e,0.13516931349356298,0.0,0.0,0.0,2,1
d2266231edb22ab6edd9f78399245e55ce9f6750_jpg.rf.74bbe147b386373678c85e5805b859d8,0.1253639861692478,0.0,0.0,0.0,1,1
e9be678170c8c473acacb700ab3b8ec6e6bbaf48_jpg.rf.e3e5fc557fed1f4f8a3ff985463f21b6,0.00891518201019652,0.0,0.0,0.0,1,1
CAIU8809360-4-_jpg.rf.9b6dc11d78435aa29c8eec6b74ae87b1,0.1634494217975856,0.0,0.0,0.0,1,1
SLVU4562125-5-_jpg.rf.384205ff2554c13538b8f5605abb2c4b,0.007454566843461685,0.0,0.0,0.0,1,1
FFAU2611038-4-_361x480_jpg.rf.957b3b47dd0591fe06d7beb4101c6ae0,0.11049440146135847,0.0,0.0,0.0,2,1
f4b241aa8616581dda8a65e4265675a0bfb33f25_jpg.rf.fdd01964b5a72c53905a052c650b75e5,0.0,0.0,0.0,0.0,1,1
FSCU8316720-2-_jpg.rf.8809a3551a78ae01bcc2eeb378ec79a5,0.28548787147020493,0.0,0.0,0.0,1,1
TGBU8801207-2-_jpg.rf.1b7869282cdd2497080b14c13ac9172f,0.0215328009622314,0.0,0.0,0.0,1,1
OOCU4844382-6-_jpg.rf.7a1d2301d99f83c322d5c973b0742d79,0.03627990643371345,0.0,0.0,0.0,1,1
a0c2c74c24be12e03011c5ef36cf07b423995ad8_jpg.rf.764bac83651eefd076abbec1fb1a92e9,0.0,0.0,0.0,0.0,1,1
TCNU5140802-10-_jpg.rf.3a5840d5dad06fc0cecf1ac57ad99ce8,0.12256177816778886,0.0,0.0,0.0,1,1
