image,precision,recall,f1,num_pred,num_gt
IMG_5730_39-38sec_jpg.rf.13aee29d81fcb9ac844bc1ee959de2e5,0.75,0.75,0.75,4,4
PPE_Data_348_jpg.rf.a057d11e330cd98694a2a01e02eb97df,0.25,0.25,0.25,2,5
TsirinOne0044_jpg.rf.52d28411c77a4b8de8a049f130b827f0,1.0,0.0,0.0,0,5
10022-9-_jpg.rf.007d13d533bb8dc87b65152289d3e808,0.75,0.75,0.75,5,5
PPE_Data_618_jpg.rf.51b64ce42d23615a75dcc9911cc08519,1.0,0.0,0.0,0,4
IMG_5719_29-32sec_jpg.rf.1e299c39d2b7a4ce48905288e2b3901e,0.75,0.75,0.75,4,4
IMG_4868_3-31sec_jpg.rf.be15e14617a04e0228e54221158dafea,0.75,0.75,0.75,3,3
istockphoto-691937454-612x612_jpg.rf.cf92e75c6b0d2b362babd27c4b0c50cc,0.6875,0.75,0.7142857142857143,7,8
IMG_5728_14-36sec_jpg.rf.e3c002fdc028606946e8659c21dd3c78,0.5,0.5,0.5,2,2
IMG_5718_5-32sec_jpg.rf.b4ee3a2605eaf863299162beb8cc411d,0.25,0.25,0.25,2,2
IMG_1297-20220729-213641-_JPG_jpg.rf.acb8c29bd492d6064864208a5c42cebe,1.0,1.0,1.0,4,4
0de1586f-6be7-4bb8-955e-342fcba91dec_jpg.rf.061ca4bb3489ab663c0e3b4ac6c2b80e,1.0,1.0,1.0,4,4
10002-6-_jpg.rf.1b67fda3665e79e8f360bde4e870a55b,0.875,1.0,0.9166666666666666,6,8
istockphoto-1368992147-612x612_jpg.rf.f60be1a13261091538cf48f009575390,0.5,0.5,0.5,3,4
istockphoto-85406187-612x612_jpg.rf.b19f02e1b4e5f1844034920be6b360b0,0.375,0.5,0.41666666666666663,2,3
maksssksksss475_png_jpg.rf.08797207b10ecc471cb38f7ef07ece77,0.4583333333333333,0.75,0.5416666666666666,3,6
20224-6-_jpg.rf.49e6745a795f0db74822174dabc1ca76,0.625,0.75,0.6666666666666666,3,4
PP02img1343_jpg.rf.31ebc11bf4741e3240fff39238095842,0.41666666666666663,0.41666666666666663,0.41666666666666663,7,7
48de9288-1e51-4ea0-a42b-514e5a31781e_jpg.rf.0401acc2c95be336a090e31a0c177f61,0.75,0.75,0.75,6,7
10004-13-_jpg.rf.f469967356f8837c206f4963922d2519,0.875,1.0,0.9166666666666666,8,10
278e10cf-8d75-4690-a714-74cb05cb8f22_jpg.rf.3203b2ef04a9a54e63434c2ef5b1218d,1.0,1.0,1.0,5,5
02448573-c43d-440e-a59b-b89a1019eeb0_jpg.rf.94d6bbf88c944cfb5a9078de973d4b84,0.5,0.5,0.5,3,4
IMG_1302-20220729-213647-_JPG_jpg.rf.36b0be31f91ad18e6bd52113a9731643,0.5,0.5,0.5,2,3
Tan0972972_jpg.rf.408154a7353c8a23deade8db58793b74,1.0,1.0,1.0,4,4
10004-17-_jpg.rf.f5ea448cc02dd470d865dff397ff424b,1.0,0.875,0.9166666666666666,10,9
57_jpg.rf.73b2aa0a742adf42394edb18c88d83c9,0.5,0.5,0.5,2,3
202225-5-_jpg.rf.ba8deb1d1dd7f68a5780394cd0f924bd,0.5,0.5,0.5,2,3
IMG_5575_12-28sec_jpg.rf.9ca67fc300e3c3682eb79d72556eb8d1,0.5,0.5,0.5,2,2
10056-9-_jpg.rf.ea0d5b84179be005d76be86109c65e34,0.5,0.5,0.5,2,5
retrato-de-ingeniero-con-casco-y-chaleco-reflectante-amarillo-drrbr9_jpg.rf.8c19ba4b9180b28b928e3431d7795f5b,0.75,0.75,0.75,4,3
image_168_jpg.rf.bf92e39af2116c8193644b991252ac73,0.5,0.5,0.5,3,4
00107_jpg.rf.6de400376b5201e4952bd08c5c810067,1.0,1.0,1.0,4,4
IMG_5725_25-32sec_jpg.rf.4312d7af3ad07fd3aa600773a07ee268,0.75,0.625,0.6666666666666666,4,3
dataset20224_jpg.rf.86b059ea1de6317cc0f8e8808fa83cf3,0.5,0.375,0.41666666666666663,3,2
Tan0972972_jpg.rf.866149956328369a9ff193ba20c8f918,1.0,1.0,1.0,4,4
10044-12-_jpg.rf.98a99bb0940fd395aa1f62e8da2b08c7,0.6875,0.75,0.7142857142857143,8,9
